iso_code,population,population_density
AFG,39835428,54.422
OWID_AFR,1373486472,0.0
ALB,2872934,104.871
DZA,44616626,17.348
AND,77354,163.755
AGO,33933611,23.89
AIA,15125,0.0
ATG,98728,231.845
ARG,45605823,16.177
ARM,2968128,102.931
ABW,107195,584.8
OWID_ASI,-2147483648,0.0
AUS,25788217,3.202
AUT,9043072,106.749
AZE,10223344,119.309
BHS,396914,39.497
BHR,1748295,1935.907
BGD,166303494,1265.036
BRB,287708,664.463
BLR,9442867,46.858
BEL,11632334,375.564
BLZ,404915,16.426
BEN,12451031,99.11
BMU,62092,1308.82
BTN,779900,21.188
BOL,11832936,10.202
BES,26445,0.0
BIH,3263459,68.496
BWA,2397240,4.044
BRA,213993441,25.04
VGB,30423,207.973
BRN,441532,81.347
BGR,6896655,65.18
BFA,21497097,70.151
BDI,12255429,423.062
KHM,16946446,90.672
CMR,27224262,50.885
CAN,38067913,4.037
CPV,561901,135.58
CYM,66498,256.496
CAF,4919987,7.479
TCD,16914985,11.833
CHL,19212362,24.282
CHN,1444216102,147.674
COL,51265841,44.223
COM,888456,437.352
COG,5657017,15.405
COK,17572,0.0
CRI,5139053,96.079
CIV,27053629,76.399
HRV,4081657,73.726
CUB,11317498,110.408
CUW,164796,362.644
CYP,896005,127.657
CZE,10724553,137.176
COD,92377986,35.879
DNK,5813302,136.52
DJI,1002197,41.285
DMA,72172,98.567
DOM,10953714,222.873
ECU,17888474,66.939
EGY,104258327,97.999
SLV,6518500,307.811
GNQ,1449891,45.194
ERI,3601462,44.304
EST,1325188,31.033
SWZ,1172369,79.492
ETH,117876226,104.957
OWID_EUR,748962983,0.0
OWID_EUN,447189915,0.0
FRO,49053,35.308
FLK,3528,0.0
FJI,902899,49.562
FIN,5548361,18.136
FRA,67564251,122.578
PYF,282534,77.324
GAB,2278829,7.859
GMB,2486937,207.566
GEO,3979773,65.032
DEU,83900471,237.016
GHA,31732128,126.719
GIB,33691,3457.1
GRC,10370747,83.479
GRL,56868,0.137
GRD,113015,317.132
GTM,18249868,157.834
GGY,63385,0.0
GIN,13497237,51.755
GNB,2015490,66.191
GUY,790329,3.952
HTI,11541683,398.448
OWID_HIC,1214930230,0.0
HND,10062994,82.805
HKG,7552800,7039.714
HUN,9634162,108.043
ISL,343360,3.404
IND,1393409033,450.419
IDN,276361788,145.725
OWID_INT,0,0.0
IRN,85028760,49.831
IRQ,41179351,88.125
IRL,4982904,69.874
IMN,85410,147.872
ISR,9291000,402.606
ITA,60367471,205.859
JAM,2973462,266.879
JPN,126050796,347.778
JEY,101073,0.0
JOR,10269022,109.285
KAZ,18994958,6.681
KEN,54985702,87.324
KIR,121388,143.701
OWID_KOS,1782115,168.155
KWT,4328553,232.128
KGZ,6628347,32.333
LAO,7379358,29.715
LVA,1866934,31.212
LBN,6769151,594.561
LSO,2159067,73.562
LBR,5180208,49.127
LBY,6958538,3.623
LIE,38254,237.012
LTU,2689862,45.135
OWID_LIC,665149040,0.0
OWID_LMC,-2147483648,0.0
LUX,634814,231.447
MAC,658391,20546.766
MDG,28427333,43.951
MWI,19647681,197.519
MYS,32776195,96.254
MDV,543620,1454.433
MLI,20855724,15.196
MLT,516100,1454.037
MHL,59618,295.15
MRT,4775110,4.289
MUS,1273428,622.962
MEX,130262220,66.444
FSM,116255,150.777
MDA,4024025,123.655
MCO,39520,19347.5
MNG,3329282,1.98
MNE,628051,46.28
MSR,4981,0.0
MAR,37344787,80.08
MOZ,32163045,37.728
MMR,54806014,81.721
NAM,2587344,3.078
NRU,10873,682.45
NPL,29674920,204.43
NLD,17173094,508.544
NCL,288217,15.342
NZL,5122600,18.206
NIC,6702379,51.667
NER,25130810,16.955
NGA,211400704,209.588
NIU,1614,0.0
OWID_NAM,596581283,0.0
MKD,2082661,82.6
OWID_CYN,0,0.0
NOR,5465629,14.462
OWID_OCE,43219954,0.0
OMN,5223376,14.98
PAK,225199929,255.573
PLW,18174,47.237
PSE,5222756,778.202
PAN,4381583,55.133
PNG,9119005,18.22
PRY,7219641,17.144
PER,33359415,25.129
PHL,111046910,351.873
PCN,47,0.0
POL,37797000,124.027
PRT,10167923,112.371
QAT,2930524,227.322
ROU,19127772,85.129
RUS,145912022,8.823
RWA,13276517,494.869
SHN,6095,0.0
KNA,53546,212.865
LCA,184401,293.187
VCT,111269,281.787
WSM,200144,69.413
SMR,34010,556.667
STP,223364,212.841
SAU,35340680,15.322
SEN,17196308,82.328
SRB,6871547,80.291
SYC,98910,208.354
SLE,8141343,104.7
SGP,5453600,7915.731
SXM,43421,1209.088
SVK,5460726,113.128
SVN,2078723,102.619
SLB,703995,21.841
SOM,16359500,23.5
ZAF,60041996,46.754
OWID_SAM,434260137,0.0
KOR,51305184,527.967
SSD,11381377,0.0
ESP,46745211,93.105
LKA,21497306,341.955
SDN,44909351,23.258
SUR,591798,3.612
SWE,10160159,24.718
CHE,8715494,214.243
SYR,18275704,0.0
TWN,23855008,0.0
TJK,9749625,64.281
TZA,61498438,64.699
THA,69950844,135.132
TLS,1343875,87.176
TGO,8478242,143.366
TKL,1368,0.0
TON,106759,150.028
TTO,1403374,266.886
TUN,11935764,74.228
TUR,85042736,104.914
TKM,6117933,12.253
TCA,39226,37.312
TUV,11925,373.067
UGA,47123533,213.759
UKR,43466822,77.39
ARE,9991083,112.442
GBR,68207114,272.898
USA,332915074,35.608
OWID_UMC,-2147483648,0.0
URY,3485152,19.751
UZB,33935765,76.134
VUT,314464,22.662
VAT,812,0.0
VEN,28704947,36.253
VNM,98168829,308.127
WLF,11094,0.0
OWID_WRL,-2147483648,58.045
YEM,30490639,53.508
ZMB,18920657,22.995
ZWE,15092171,42.729
